Name,Command,Processed At,Customer: Email,Line: Type,Line: SKU,Line: Quantity,Line: Price,Line: Grams,Line: Requires Shipping,Line: Vendor,Transaction: Kind,Transaction: Processed At,Transaction: Amount,Payment: Status,Fulfillment: Status,Fulfillment: Processed At,Fulfillment: Tracking Number,Fulfillment: Shipment Status
84785001,NEW,3/15/2024 14:33,sarah.johnson@gmail.com,Line Item,000000040411,1,31.99,0,TRUE,,sale,3/15/2024 14:33,31.99,paid,success,3/15/2024 14:33,,delivered
84785002,NEW,3/18/2024 14:10,michael.chen@yahoo.com,Line Item,000000027891,1,82.99,0,TRUE,,sale,3/18/2024 14:10,82.99,paid,success,3/18/2024 14:10,,delivered
84785003,NEW,3/22/2024 11:33,lisa.rodriguez@hotmail.com,Line Item,000000027091,2,24.99,0,TRUE,,sale,3/22/2024 11:33,24.99,paid,success,3/22/2024 11:33,,delivered
84785004,NEW,3/25/2024 16:38,david.wilson@gmail.com,Line Item,000000026771,1,109.99,0,TRUE,,sale,3/25/2024 16:38,109.99,paid,success,3/25/2024 16:38,,delivered
84785006,NEW,2/4/2024 12:16,robert.taylor@gmail.com,Line Item,000000026775,1,72.99,0,TRUE,,sale,2/4/2024 12:16,72.99,paid,success,2/4/2024 12:16,,delivered
84785007,NEW,5/4/2024 14:03,amanda.garcia@yahoo.com,Line Item,000000027890,1,104.99,0,TRUE,,sale,5/4/2024 14:03,104.99,paid,success,5/4/2024 14:03,,delivered
84785008,NEW,8/4/2024 14:20,kevin.martinez@gmail.com,Line Item,000010210627,3,15.99,0,TRUE,,sale,8/4/2024 14:20,15.99,paid,success,8/4/2024 14:20,,delivered
84785009,NEW,12/4/2024 9:29,jennifer.lee@hotmail.com,Line Item,000000027893,1,24.99,0,TRUE,,sale,12/4/2024 9:29,24.99,paid,success,12/4/2024 9:29,,delivered
84785010,NEW,4/15/2024 10:34,christopher.white@outlook.com,Line Item,000000040411,2,31.99,0,TRUE,,sale,4/15/2024 10:34,31.99,paid,success,4/15/2024 10:34,,delivered
84785011,NEW,4/18/2024 10:18,michelle.davis@gmail.com,Line Item,000000027891,1,82.99,0,TRUE,,sale,4/18/2024 10:18,82.99,paid,success,4/18/2024 10:18,,delivered
84785011,NEW,4/18/2024 13:29,michelle.davis@gmail.com,Line Item,000000027091,1,24.99,0,TRUE,,sale,4/18/2024 13:29,24.99,paid,success,4/18/2024 13:29,,delivered
84785012,NEW,4/22/2024 12:14,andrew.thompson@yahoo.com,Line Item,000000026771,1,109.99,0,TRUE,,sale,4/22/2024 12:14,109.99,paid,success,4/22/2024 12:14,,delivered
84785012,NEW,4/22/2024 10:50,andrew.thompson@yahoo.com,Line Item,000010210627,1,15.99,0,TRUE,,sale,4/22/2024 10:50,15.99,paid,success,4/22/2024 10:50,,delivered
84785014,NEW,4/28/2024 10:07,thomas.jackson@gmail.com,Line Item,000000026775,1,72.99,0,TRUE,,sale,4/28/2024 10:07,72.99,paid,success,4/28/2024 10:07,,delivered
84785014,NEW,4/28/2024 16:27,thomas.jackson@gmail.com,Line Item,000000027890,1,104.99,0,TRUE,,sale,4/28/2024 16:27,104.99,paid,success,4/28/2024 16:27,,delivered
84785015,NEW,2/5/2024 12:00,elizabeth.harris@outlook.com,Line Item,000000027893,2,24.99,0,TRUE,,sale,2/5/2024 12:00,24.99,paid,success,2/5/2024 12:00,,delivered
84785016,NEW,5/5/2024 12:17,daniel.clark@yahoo.com,Line Item,000000040411,1,31.99,0,TRUE,,sale,5/5/2024 12:17,31.99,paid,success,5/5/2024 12:17,,delivered
84785016,NEW,5/5/2024 14:38,daniel.clark@yahoo.com,Line Item,000000027891,1,82.99,0,TRUE,,sale,5/5/2024 14:38,82.99,paid,success,5/5/2024 14:38,,delivered
84785016,NEW,5/5/2024 16:11,daniel.clark@yahoo.com,Line Item,000000027091,1,24.99,0,TRUE,,sale,5/5/2024 16:11,24.99,paid,success,5/5/2024 16:11,,delivered
